date,total_daily_fees_btc
2011-09-04,9.87229329
2011-09-08,4.66847138
2011-09-12,5.37417472
2011-09-16,4.96831626
2011-09-20,6.56952256
2011-09-24,6.71538477
2011-09-28,4.379026
2011-10-02,3.17980555
2011-10-06,8.08896045
2011-10-10,3.34552432
2011-10-14,3.40803011
2011-10-18,2.90288072
2011-10-22,2.81398947
2011-10-26,3.08756534
2011-10-30,3.19754829
2011-11-03,2.90902778
2011-11-07,3.48022274
2011-11-11,2.03989012
2011-11-15,2.88289742
2011-11-19,3.1302203
2011-11-23,3.51238566
2011-11-27,2.55055237
2011-12-01,4.48500523
2011-12-05,3.00216604
2011-12-09,3.0104452
2011-12-13,4.05414175
2011-12-17,3.52004317
2011-12-21,4.26075206
2011-12-25,2.92534449
2011-12-29,4.15995739
2012-01-02,5.55312158
2012-01-06,6.48923847
2012-01-10,4.89613037
2012-01-14,12.78590354
2012-01-18,10.84433779
2012-01-22,3.03810531
2012-01-26,8.95157979
2012-01-30,29.11896874
2012-02-03,6.90589652
2012-02-07,6.64074854
2012-02-11,3.91143183
2012-02-15,6.10036407
2012-02-19,2.65186887
2012-02-23,5.00951708
2012-02-27,5.66176552
2012-03-02,4.50574566
2012-03-06,4.84595258
2012-03-10,4.38179608
2012-03-14,5.17901821
2012-03-18,3.22801017
2012-03-22,3.38385442
2012-03-26,3.47762179
2012-03-30,4.39585095
2012-04-03,5.07741879
2012-04-07,3.7089169
2012-04-11,5.24550745
2012-04-15,3.69750206
2012-04-19,5.84943097
2012-04-23,4.2807022
2012-04-27,6.88570856
2012-05-01,6.73048886
2012-05-05,7.87065714
2012-05-09,14.13032343
2012-05-13,11.80632246
2012-05-17,11.71657133
2012-05-21,19.56744229
2012-05-25,19.27748871
2012-05-29,16.97474696
2012-06-02,7.13557653
2012-06-06,11.27363476
2012-06-10,25.33678545
2012-06-14,38.72082266
2012-06-18,27.88555011
2012-06-22,20.70231783
2012-06-26,18.27898114
2012-06-30,13.94161293
2012-07-04,13.28572083
2012-07-08,11.50252767
2012-07-12,13.53006867
2012-07-16,21.28658376
2012-07-20,37.47018662
2012-07-24,15.98700134
2012-07-28,20.56362157
2012-08-01,20.02226151
2012-08-05,25.67591134
2012-08-09,17.38277224
2012-08-13,25.55351796
2012-08-17,30.86566635
2012-08-21,24.56426695
2012-08-25,23.9103034
2012-08-29,24.15507933
2012-09-02,30.5544115
2012-09-06,25.55427416
2012-09-10,24.05863046
2012-09-14,20.22012586
2012-09-18,22.40126053
2012-09-22,15.23518456
2012-09-26,19.55185895
2012-09-30,11.45608154
2012-10-04,131.01704826
2012-10-08,27.24366665
2012-10-12,20.45036309
2012-10-16,25.01043862
2012-10-20,18.11057193
2012-10-24,21.30409168
2012-10-28,12.70849238
2012-11-01,20.21981119
2012-11-05,25.76403178
2012-11-09,19.40181595
2012-11-13,20.53599413
2012-11-17,25.60602784
2012-11-21,30.78838241
2012-11-25,29.5141209
2012-11-29,29.66282715
2012-12-03,18.28932863
2012-12-07,24.33169284
2012-12-11,31.49639467
2012-12-15,24.34047049
2012-12-19,34.9971247
2012-12-23,31.44947995
2012-12-27,36.93617681
2012-12-31,24.42158122
2013-01-04,38.50311321
2013-01-08,32.40727682
2013-01-12,36.66480767
2013-01-16,41.22235845
2013-01-20,32.98917964
2013-01-24,44.02332598
2013-01-28,43.14662379
2013-02-01,52.28602156
2013-02-05,42.3586766
2013-02-09,45.1432612
2013-02-13,56.12658455
2013-02-17,46.81710946
2013-02-21,51.49190623
2013-02-25,66.62844799
2013-03-01,68.01127271
2013-03-05,51.38976576
2013-03-09,52.11584112
2013-03-13,52.6969283
2013-03-17,31.69724524
2013-03-21,50.61033936
2013-03-25,44.37006807
2013-03-29,60.72037681
2013-04-02,61.20119573
2013-04-06,38.85304125
2013-04-10,64.66733147
2013-04-14,53.37811427
2013-04-18,42.53670086
2013-04-22,46.46535059
2013-04-26,40.59900011
2013-04-30,45.74865143
2013-05-04,45.93572788
2013-05-08,52.00264132
2013-05-12,56.57452505
2013-05-16,77.36863781
2013-05-20,43.45547937
2013-05-24,48.33183927
2013-05-28,54.78926938
2013-06-01,41.25064975
2013-06-05,60.12802918
2013-06-09,36.04930663
2013-06-13,40.8787914
2013-06-17,36.85317147
2013-06-21,42.99107458
2013-06-25,33.79573922
2013-06-29,24.38738042
2013-07-03,28.17488168
2013-07-07,18.42094257
2013-07-11,35.32010629
2013-07-15,22.33268606
2013-07-19,21.11963162
2013-07-23,21.44867879
2013-07-27,32.60189106
2013-07-31,49.24699101
2013-08-04,31.50890033
2013-08-08,49.11009386
2013-08-12,25.37058276
2013-08-16,46.94701273
2013-08-20,34.17570561
2013-08-24,27.73017547
2013-08-28,260.83498262
2013-09-01,24.95132746
2013-09-05,32.62242832
2013-09-09,30.53100606
2013-09-13,20.96323621
2013-09-17,302.75425378
2013-09-21,26.75531601
2013-09-25,31.06396518
2013-09-29,25.84549691
2013-10-03,36.60294587
2013-10-07,32.57715142
2013-10-11,22.76995908
2013-10-15,38.64309771
2013-10-19,36.26226694
2013-10-23,45.77781754
2013-10-27,57.75029853
2013-10-31,29.97871915
2013-11-04,51.82985587
2013-11-08,106.82017227
2013-11-12,22.51123231
2013-11-16,14.2659898
2013-11-20,25.27945207
2013-11-24,17.53595197
2013-11-28,30.73997164
2013-12-02,21.13751064
2013-12-06,19.20163235
2013-12-10,17.50092456
2013-12-14,12.40576423
2013-12-18,18.64447134
2013-12-22,11.46529505
2013-12-26,13.36262326
2013-12-30,11.74180891
2014-01-03,13.81938881
2014-01-07,15.53038267
2014-01-11,12.25450903
2014-01-15,16.85023545
2014-01-19,11.42147877
2014-01-23,16.79639116
2014-01-27,13.45771067
2014-01-31,14.37916749
2014-02-04,14.22240734
2014-02-08,12.26699028
2014-02-12,16.0368654
2014-02-16,11.32317875
2014-02-20,14.81614558
2014-02-24,15.21980169
2014-02-28,16.40787615
2014-03-04,17.38424603
2014-03-08,11.62425694
2014-03-12,16.51719963
2014-03-16,12.38310041
2014-03-20,13.7341206
2014-03-24,12.99764579
2014-03-28,12.32486726
2014-04-01,12.31562078
2014-04-05,11.16666447
2014-04-09,20.25920875
2014-04-13,10.29986168
2014-04-17,14.99553797
2014-04-21,12.47640246
2014-04-25,13.64442103
2014-04-29,12.61418574
2014-05-03,10.28949159
2014-05-07,13.54172333
2014-05-11,9.70016918
2014-05-15,12.8013398
2014-05-19,11.40509824
2014-05-23,12.72896008
2014-05-27,12.14135874
2014-05-31,9.64770833
2014-06-04,12.01095921
2014-06-08,8.84632234
2014-06-12,12.93722403
2014-06-16,11.98941586
2014-06-20,10.71588434
2014-06-24,11.06251476
2014-06-28,9.26408687
2014-07-02,12.74840425
2014-07-06,9.22847962
2014-07-10,11.18585911
2014-07-14,11.75980369
2014-07-18,11.9486888
2014-07-22,11.71344544
2014-07-26,8.73951865
2014-07-30,11.03235411
2014-08-03,8.55001533
2014-08-07,10.97700977
2014-08-11,12.25468145
2014-08-15,12.03876959
2014-08-19,12.80157171
2014-08-23,8.62310977999999
2014-08-27,11.5415257
2014-08-31,8.8939901
2014-09-04,11.19739332
2014-09-08,12.20418844
2014-09-12,10.70477886
2014-09-16,14.35162373
2014-09-20,10.26633681
2014-09-24,12.35686671
2014-09-28,10.79213151
2014-10-02,11.24530798
2014-10-06,12.61174465
2014-10-10,13.00507017
2014-10-14,13.26556263
2014-10-18,10.35069092
2014-10-22,12.67184925
2014-10-26,11.22128422
2014-10-30,13.86147032
2014-11-03,16.58571291
2014-11-07,13.57256903
2014-11-11,13.37416163
2014-11-15,11.20153289
2014-11-19,13.16045397
2014-11-23,11.9135696
2014-11-27,11.99225619
2014-12-01,13.9126614
2014-12-05,12.38234866
2014-12-09,12.59212127
2014-12-13,10.37249204
2014-12-17,15.18390144
2014-12-21,11.33607592
2014-12-25,9.31387778
2014-12-29,14.4376344
2015-01-02,11.82270129
2015-01-06,12.84608123
2015-01-10,15.25846972
2015-01-14,15.22479663
2015-01-18,13.877202
2015-01-22,13.40410002
2015-01-26,16.01810841
2015-01-30,11.21422969
2015-02-03,13.07488376
2015-02-07,11.76433401
2015-02-11,14.40657851
2015-02-15,13.82078432
2015-02-19,13.58169837
2015-02-23,14.52475248
2015-02-27,14.39065266
2015-03-03,15.6440078
2015-03-07,13.06858102
2015-03-11,15.32225806
2015-03-15,11.9740388
2015-03-19,16.48516776
2015-03-23,17.57202944
2015-03-27,13.97818158
2015-03-31,16.30322108
2015-04-04,13.74643295
2015-04-08,16.1527751
2015-04-12,14.10159871
2015-04-16,14.03218749
2015-04-20,17.01682374
2015-04-24,15.60361285
2015-04-28,16.15746744
2015-05-02,13.99169181
2015-05-06,15.78427708
2015-05-10,15.5854514
2015-05-14,14.06091765
2015-05-18,14.84130953
2015-05-22,15.33794565
2015-05-26,18.04951479
2015-05-30,17.0420672
2015-06-03,18.03214868
2015-06-07,12.96274061
