date,difficulty
2009-01-03,1.0
2009-01-07,0.0
2009-01-11,1.0
2009-01-15,1.0
2009-01-19,1.0
2009-01-23,1.0
2009-01-27,1.0
2009-01-31,1.0
2009-02-04,1.0
2009-02-08,1.0
2009-02-12,1.0
2009-02-16,1.0
2009-02-20,1.0
2009-02-24,1.0
2009-02-28,1.0
2009-03-04,1.0
2009-03-08,1.0
2009-03-12,1.0
2009-03-16,1.0
2009-03-20,1.0
2009-03-24,1.0
2009-03-28,1.0
2009-04-01,1.0
2009-04-05,1.0
2009-04-09,1.0
2009-04-13,1.0
2009-04-17,1.0
2009-04-21,1.0
2009-04-25,1.0
2009-04-29,1.0
2009-05-03,1.0
2009-05-07,1.0
2009-05-11,1.0
2009-05-15,1.0
2009-05-19,1.0
2009-05-23,1.0
2009-05-27,1.0
2009-05-31,1.0
2009-06-04,1.0
2009-06-08,1.0
2009-06-12,1.0
2009-06-16,1.0
2009-06-20,1.0
2009-06-24,1.0
2009-06-28,1.0
2009-07-02,1.0
2009-07-06,1.0
2009-07-10,1.0
2009-07-14,1.0
2009-07-18,1.0
2009-07-22,1.0
2009-07-26,1.0
2009-07-30,1.0
2009-08-03,1.0
2009-08-07,1.0
2009-08-11,1.0
2009-08-15,1.0
2009-08-19,1.0
2009-08-23,1.0
2009-08-27,1.0
2009-08-31,1.0
2009-09-04,1.0
2009-09-08,1.0
2009-09-12,1.0
2009-09-16,1.0
2009-09-20,1.0
2009-09-24,1.0
2009-09-28,1.0
2009-10-02,1.0
2009-10-06,1.0
2009-10-10,1.0
2009-10-14,1.0
2009-10-18,1.0
2009-10-22,1.0
2009-10-26,1.0
2009-10-30,1.0
2009-11-03,1.0
2009-11-07,1.0
2009-11-11,1.0
2009-11-15,1.0
2009-11-19,1.0
2009-11-23,1.0
2009-11-27,1.0
2009-12-01,1.0
2009-12-05,1.0
2009-12-09,1.0
2009-12-13,1.0
2009-12-17,1.0
2009-12-21,1.0
2009-12-25,1.0
2009-12-29,1.0
2010-01-02,1.18289953431284
2010-01-06,1.18289953431284
2010-01-10,1.18289953431284
2010-01-14,1.30506213159152
2010-01-18,1.30506213159152
2010-01-22,1.30506213159152
2010-01-26,1.34422497077103
2010-01-30,1.34422497077103
2010-02-03,1.34422497077103
2010-02-07,1.81864853614541
2010-02-11,1.81864853614541
2010-02-15,2.52773821507236
2010-02-19,2.52773821507236
2010-02-23,2.52773821507236
2010-02-27,3.78117925203377
2010-03-03,3.78117925203377
2010-03-07,3.78117925203377
2010-03-11,4.53108175007069
2010-03-15,4.53108175007069
2010-03-19,4.53108175007069
2010-03-23,4.56516291033707
2010-03-27,4.56516291033707
2010-03-31,4.56516291033707
2010-04-04,6.08547690600079
2010-04-08,6.08547690600079
2010-04-12,7.81979699335383
2010-04-16,7.81979699335383
2010-04-20,7.81979699335383
2010-04-24,11.4643158055141
2010-04-28,11.4643158055141
2010-05-02,11.4643158055141
2010-05-06,12.8491831478238
2010-05-10,12.8491831478238
2010-05-14,12.8491831478238
2010-05-18,12.8491831478238
2010-05-22,11.8462281497047
2010-05-26,11.8462281497047
2010-05-30,16.6190787518574
2010-06-03,16.6190787518574
2010-06-07,16.6190787518574
2010-06-11,16.6190787518574
2010-06-15,17.3814881581401
2010-06-19,17.3814881581401
2010-06-23,17.3814881581401
2010-06-27,19.4047963283822
2010-07-01,19.4047963283822
2010-07-05,19.4047963283822
2010-07-09,23.5012572229032
2010-07-13,45.3858223410126
2010-07-17,181.543289364051
2010-07-21,181.543289364051
2010-07-25,181.543289364051
2010-07-29,244.213223092375
2010-08-02,244.213223092375
2010-08-06,352.16120906801
2010-08-10,352.16120906801
2010-08-14,352.16120906801
2010-08-18,511.773534256604
2010-08-22,511.773534256604
2010-08-26,511.773534256604
2010-08-30,623.386959868928
2010-09-03,623.386959868928
2010-09-07,623.386959868928
2010-09-11,712.884864552097
2010-09-15,712.884864552097
2010-09-19,917.830741301512
2010-09-23,917.830741301512
2010-09-27,917.830741301512
2010-10-01,1318.67005015359
2010-10-05,1318.67005015359
2010-10-09,1318.67005015359
2010-10-13,1378.02816503733
2010-10-17,1378.02816503733
2010-10-21,2149.02181494673
2010-10-25,2149.02181494673
2010-10-29,2149.02181494673
2010-11-02,3091.7368904118
2010-11-06,3091.7368904118
2010-11-10,4536.35372327504
2010-11-14,4536.35372327504
2010-11-18,4536.35372327504
2010-11-22,6866.89864897274
2010-11-26,6866.89864897274
2010-11-30,8078.19525792509
2010-12-04,8078.19525792509
2010-12-08,8078.19525792509
2010-12-12,12251.9997603745
2010-12-16,12251.9997603745
2010-12-20,12251.9997603745
2010-12-24,14484.1623612254
2010-12-28,14484.1623612254
2011-01-01,14484.1623612254
2011-01-05,16307.420938524
2011-01-09,16307.420938524
2011-01-13,16307.420938524
2011-01-17,18437.6443921663
2011-01-21,18437.6443921663
2011-01-25,18437.6443921663
2011-01-29,22012.3813379939
2011-02-02,22012.3813379939
2011-02-06,22012.3813379939
2011-02-10,25997.8799288144
2011-02-14,25997.8799288144
2011-02-18,36459.8869250751
2011-02-22,36459.8869250751
2011-02-26,36459.8869250751
2011-03-02,55589.5181268687
2011-03-06,55589.5181268687
2011-03-10,76192.6193475137
2011-03-14,76192.6193475137
2011-03-18,76192.6193475137
2011-03-22,76192.6193475137
2011-03-26,68977.7846302096
2011-03-30,68977.7846302096
2011-04-03,68977.7846302096
2011-04-07,82345.6441129666
2011-04-11,82345.6441129666
2011-04-15,82345.6441129666
2011-04-19,92347.5909520943
2011-04-23,92347.5909520943
2011-04-27,92347.5909520943
2011-05-01,109670.133292477
2011-05-05,109670.133292477
2011-05-09,109670.133292477
2011-05-13,157416.401843649
2011-05-17,157416.401843649
2011-05-21,244112.487774336
2011-05-25,244112.487774336
2011-05-29,434877.045527628
2011-06-02,434877.045527628
2011-06-06,567269.530162422
2011-06-10,567269.530162422
2011-06-14,567269.530162422
2011-06-18,876954.493513537
2011-06-22,876954.493513537
2011-06-26,1379192.28822808
2011-06-30,1379192.28822808
2011-07-04,1379192.28822808
2011-07-08,1563027.99611622
2011-07-12,1563027.99611622
2011-07-16,1563027.99611622
2011-07-20,1690895.80305239
2011-07-24,1690895.80305239
2011-07-28,1690895.80305239
2011-08-01,1888786.70535305
2011-08-05,1888786.70535305
2011-08-09,1888786.70535305
2011-08-13,1888786.70535305
2011-08-17,1805700.83619367
2011-08-21,1805700.83619367
2011-08-25,1805700.83619367
2011-08-29,1805700.83619367
2011-09-02,1777774.48200146
2011-09-06,1777774.48200146
2011-09-10,1777774.48200146
2011-09-14,1755425.3203287
2011-09-18,1755425.3203287
2011-09-22,1755425.3203287
2011-09-26,1755425.3203287
2011-09-30,1689334.4045971
2011-10-04,1689334.4045971
2011-10-08,1689334.4045971
2011-10-12,1689334.4045971
2011-10-16,1468195.42722083
2011-10-20,1468195.42722083
2011-10-24,1468195.42722083
2011-10-28,1468195.42722083
2011-11-01,1203461.92637997
2011-11-05,1203461.92637997
2011-11-09,1203461.92637997
2011-11-13,1203461.92637997
2011-11-17,1192497.75008948
2011-11-21,1192497.75008948
2011-11-25,1192497.75008948
2011-11-29,1192497.75008948
2011-12-03,1090715.68005127
2011-12-07,1090715.68005127
2011-12-11,1090715.68005127
2011-12-15,1155038.33396364
2011-12-19,1155038.33396364
2011-12-23,1155038.33396364
2011-12-27,1159929.49722438
2011-12-31,1159929.49722438
2012-01-04,1159929.49722438
2012-01-08,1159929.49722438
2012-01-12,1250757.73927466
2012-01-16,1250757.73927466
2012-01-20,1250757.73927466
2012-01-24,1307728.36060407
2012-01-28,1307728.36060407
2012-02-01,1307728.36060407
2012-02-05,1379647.43921429
2012-02-09,1379647.43921429
2012-02-13,1379647.43921429
2012-02-17,1379647.43921429
2012-02-21,1376302.26788638
2012-02-25,1376302.26788638
2012-02-29,1376302.26788638
2012-03-04,1496978.59502557
2012-03-08,1496978.59502557
2012-03-12,1496978.59502557
2012-03-16,1498294.36281651
2012-03-20,1498294.36281651
2012-03-24,1498294.36281651
2012-03-28,1498294.36281651
2012-04-01,1626553.48132894
2012-04-05,1626553.48132894
2012-04-09,1626553.48132894
2012-04-13,1577913.48567673
2012-04-17,1577913.48567673
2012-04-21,1577913.48567673
2012-04-25,1577913.48567673
2012-04-29,1508589.67206029
2012-05-03,1508589.67206029
2012-05-07,1508589.67206029
2012-05-11,1733207.51384839
2012-05-15,1733207.51384839
2012-05-19,1733207.51384839
2012-05-23,1733207.51384839
2012-05-27,1591074.96184731
2012-05-31,1591074.96184731
2012-06-04,1591074.96184731
2012-06-08,1591074.96184731
2012-06-12,1583177.84744401
2012-06-16,1583177.84744401
2012-06-20,1726566.55919348
2012-06-24,1726566.55919348
2012-06-28,1726566.55919348
2012-07-02,1726566.55919348
2012-07-06,1751454.53534068
2012-07-10,1751454.53534068
2012-07-14,1751454.53534068
2012-07-18,1866391.30500321
2012-07-22,1866391.30500321
2012-07-26,1866391.30500321
2012-07-30,2036671.08869332
2012-08-03,2036671.08869332
2012-08-07,2036671.08869332
2012-08-11,2036671.08869332
2012-08-15,2190865.97010286
2012-08-19,2190865.97010286
2012-08-23,2190865.97010286
2012-08-27,2440642.60691596
2012-08-31,2440642.60691596
2012-09-04,2440642.60691596
2012-09-08,2694047.95295501
2012-09-12,2694047.95295501
2012-09-16,2694047.95295501
